"","GSM7840464","GSM7840465","GSM7840466","GSM7840467","GSM7840468","GSM7840469","GSM7840470","GSM7840471","GSM7840472"
"gene_id",0,0,0,0,0,0,0,0,0
"ENSMUSG00000028180",408,539,434,376,384,387,166,282,418
"ENSMUSG00000028182",11,30,14,15,8,14,11,23,11
"ENSMUSG00000028185",414,649,259,304,261,295,282,356,432
"ENSMUSG00000028184",421,716,535,423,464,459,577,834,638
"ENSMUSG00000028187",209,373,182,253,201,185,365,355,294
"ENSMUSG00000028186",33497,47054,23495,24492,19640,28079,15784,28409,22001
"ENSMUSG00000028189",121,229,122,148,101,137,160,150,114
"ENSMUSG00000028188",12,14,18,8,17,26,5,10,7
"ENSMUSG00000107279",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100529",0,0,0,0,0,0,0,0,0
"ENSMUSG00000035429",0,0,0,0,0,1,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0,0,0,0
"ENSMUSG00000035420",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020755",235,330,179,234,191,211,251,286,229
"ENSMUSG00000020752",198,300,215,237,141,230,187,300,234
"ENSMUSG00000073735",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020758",4,1,6,21,1,4,8,6,10
"ENSMUSG00000069833",157,230,160,275,146,115,115,168,178
"ENSMUSG00000069830",2,0,0,0,1,2,0,0,2
"ENSMUSG00000028238",12,46,21,35,1,22,5,20,25
"ENSMUSG00000033862",195,250,160,220,157,202,128,187,166
"ENSMUSG00000038762",745,1443,871,772,703,895,1323,1381,962
"ENSMUSG00000033860",46287,74518,32988,37330,32339,32215,213327,73328,66761
"ENSMUSG00000069835",81,95,75,90,116,106,65,88,61
"ENSMUSG00000028233",181,228,181,227,154,219,175,218,169
"ENSMUSG00000028232",103,147,72,126,75,89,72,128,90
"ENSMUSG00000028236",4,0,0,0,2,0,1,0,1
"ENSMUSG00000028234",554,809,319,524,427,322,478,529,481
"ENSMUSG00000044537",0,0,0,0,0,0,0,0,0
"ENSMUSG00000044534",40,82,35,36,14,29,21,58,40
"ENSMUSG00000068122",0,0,0,0,0,0,0,0,0
"ENSMUSG00000046020",189,170,166,151,151,187,134,218,144
"ENSMUSG00000044538",0,0,0,0,0,0,0,0,0
"ENSMUSG00000027405",136,193,120,139,135,123,190,168,146
"ENSMUSG00000027404",546,527,421,483,414,388,310,398,307
"ENSMUSG00000075167",0,0,0,0,0,0,0,0,0
"ENSMUSG00000027406",2562,3048,2377,2789,2018,2611,1630,2314,1979
"ENSMUSG00000027401",0,0,0,0,0,0,0,0,0
"ENSMUSG00000027400",0,0,0,0,0,0,0,0,0
"ENSMUSG00000027403",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075169",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075168",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073730",0,0,0,0,0,0,0,0,0
"ENSMUSG00000018209",306,377,322,199,179,292,317,403,354
"ENSMUSG00000044288",0,0,0,0,0,0,0,0,0
"ENSMUSG00000083761",1,0,0,0,0,0,1,0,0
"ENSMUSG00000044286",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108435",9,21,19,14,32,25,8,29,19
"ENSMUSG00000006958",65,98,106,72,84,57,99,110,96
"ENSMUSG00000087577",0,0,0,0,0,0,0,0,0
"ENSMUSG00000087575",0,0,0,0,0,0,0,1,0
"ENSMUSG00000087574",16,15,14,16,4,6,9,11,12
"ENSMUSG00000087571",0,0,0,0,0,0,0,0,0
"ENSMUSG00000087570",0,0,0,0,0,0,0,0,0
"ENSMUSG00000087579",1334,1434,957,1205,833,1657,200,548,1064
"ENSMUSG00000087578",4,14,2,7,10,4,4,13,4
"ENSMUSG00000058568",0,0,0,0,0,0,0,0,0
"ENSMUSG00000058569",697,757,531,647,709,509,931,620,527
"ENSMUSG00000073862",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097266",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073860",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073867",3,3,1,4,1,5,1,6,1
"ENSMUSG00000079800",0,0,0,0,0,0,0,0,0
"ENSMUSG00000021585",430,550,413,414,331,414,396,488,510
"ENSMUSG00000021589",81,79,99,51,62,111,41,115,85
"ENSMUSG00000079808",0,0,1,0,0,0,0,0,0
"ENSMUSG00000097309",18,7,6,24,7,7,3,8,12
"ENSMUSG00000030889",2,0,2,3,0,0,0,2,1
"ENSMUSG00000030888",69,200,95,78,95,100,173,158,131
"ENSMUSG00000086190",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086191",1,0,1,1,2,2,3,0,1
"ENSMUSG00000086196",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086197",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086194",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030881",189,142,115,182,169,140,222,162,162
"ENSMUSG00000026753",449,536,451,457,391,427,362,553,517
"ENSMUSG00000026750",1640,1899,1313,1826,1315,1393,781,1219,1031
"ENSMUSG00000030882",48,71,60,61,78,89,47,91,58
"ENSMUSG00000030884",3177,4448,2954,3595,2765,3411,1933,2899,2663
"ENSMUSG00000026754",112,201,160,197,170,178,182,215,160
"ENSMUSG00000026755",366,503,355,431,367,451,270,330,301
"ENSMUSG00000059218",0,0,0,0,0,0,0,0,0
"ENSMUSG00000059213",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086224",0,0,2,0,3,0,0,0,0
"ENSMUSG00000086226",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086227",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086220",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086221",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086222",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086228",0,0,0,0,0,0,0,0,1
"ENSMUSG00000003824",11,14,18,11,11,6,0,17,11
"ENSMUSG00000081649",0,0,0,0,0,0,0,0,0
"ENSMUSG00000098559",0,1,0,0,0,0,0,2,1
"ENSMUSG00000094679",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085551",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085550",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085556",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085555",0,0,0,0,0,0,0,0,0
"ENSMUSG00000004446",155,168,223,259,186,182,130,253,232
"ENSMUSG00000094672",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094673",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094675",0,0,0,0,0,0,0,0,0
"ENSMUSG00000098557",146,166,195,57,94,161,128,122,131
"ENSMUSG00000033863",1528,2040,1874,1083,1146,1592,1458,2021,1604
"ENSMUSG00000047161",0,0,0,0,0,3,0,0,0
"ENSMUSG00000085885",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085884",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085887",0,2,5,1,0,0,4,1,1
"ENSMUSG00000085886",0,0,1,6,0,0,1,3,5
"ENSMUSG00000085881",4,2,4,5,1,0,0,1,2
"ENSMUSG00000085883",0,0,0,0,0,0,0,0,0
"ENSMUSG00000085882",113,103,104,92,76,81,45,130,110
"ENSMUSG00000085889",0,2,2,0,0,0,2,1,2
"ENSMUSG00000085888",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029919",13,13,5,7,4,4,4,5,2
"ENSMUSG00000029918",233,291,225,323,258,290,151,196,175
"ENSMUSG00000029915",0,1,1,0,0,0,6,0,5
"ENSMUSG00000029917",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029916",80,83,61,76,48,60,62,63,59
"ENSMUSG00000029911",224,298,206,284,235,230,238,236,223
"ENSMUSG00000029910",39,58,32,44,30,36,30,47,36
"ENSMUSG00000029913",4,11,0,6,1,0,6,0,2
"ENSMUSG00000070527",3,6,2,2,4,1,3,2,4
"ENSMUSG00000095108",0,0,0,0,0,0,0,0,0
"ENSMUSG00000095101",0,0,0,0,0,0,0,0,0
"ENSMUSG00000006179",0,1,0,0,0,0,0,0,0
"ENSMUSG00000095103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000095105",1,1,0,1,1,4,1,3,0
"ENSMUSG00000095104",0,0,0,0,0,0,0,0,0
"ENSMUSG00000095107",0,0,0,0,0,0,0,0,0
"ENSMUSG00000098082",0,0,0,0,0,0,0,0,0
"ENSMUSG00000098087",0,0,0,0,0,0,0,0,0
"ENSMUSG00000035273",36,104,62,36,47,75,51,50,63
"ENSMUSG00000043263",23,23,35,24,26,20,13,18,15
"ENSMUSG00000043262",154,203,145,118,77,140,69,141,113
"ENSMUSG00000098088",0,0,0,0,0,0,0,0,0
"ENSMUSG00000043267",0,0,0,0,0,0,0,0,0
"ENSMUSG00000026842",341,357,272,377,265,287,342,690,438
"ENSMUSG00000035278",127,178,119,109,108,81,83,125,123
"ENSMUSG00000044533",3692,3663,2696,3145,2659,2447,1594,2480,1980
"ENSMUSG00000034435",472,834,369,431,393,382,529,736,554
"ENSMUSG00000108626",0,0,0,0,0,0,0,0,0
"ENSMUSG00000034430",176,325,190,162,129,161,103,228,239
"ENSMUSG00000083489",0,0,0,0,0,0,0,0,0
"ENSMUSG00000034438",39,31,59,34,36,44,22,28,25
"ENSMUSG00000074011",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100628",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068129",0,0,4,0,0,0,0,0,1
"ENSMUSG00000053914",0,0,0,0,0,0,0,0,0
"ENSMUSG00000053916",34,35,25,22,15,28,27,33,16
"ENSMUSG00000017723",86,129,66,71,32,96,26,37,47
"ENSMUSG00000017721",633,752,499,439,393,570,797,729,638
"ENSMUSG00000017720",0,0,0,0,0,0,0,0,0
"ENSMUSG00000017724",0,0,4,3,2,0,0,2,0
"ENSMUSG00000009356",0,0,0,0,0,0,0,0,0
"ENSMUSG00000009350",0,8,0,0,0,0,0,0,0
"ENSMUSG00000015474",336,474,306,343,229,307,235,445,337
"ENSMUSG00000011267",6,6,7,14,15,2,5,13,7
"ENSMUSG00000078816",4,7,4,5,4,7,1,5,0
"ENSMUSG00000078817",716,1781,1025,1560,1033,1008,1407,802,1037
"ENSMUSG00000078815",0,0,0,0,0,0,0,0,0
"ENSMUSG00000078812",2732,3275,2262,2512,1960,2034,2596,3066,2197
"ENSMUSG00000015478",665,754,421,540,540,555,506,617,627
"ENSMUSG00000078810",0,1,2,0,2,0,1,0,0
"ENSMUSG00000099758",0,0,0,0,2,2,0,2,2
"ENSMUSG00000099759",3,10,9,13,11,3,5,1,15
"ENSMUSG00000046323",0,1,0,0,0,0,0,0,0
"ENSMUSG00000099751",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099752",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099754",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099755",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099756",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099757",0,1,2,0,2,2,1,0,1
"ENSMUSG00000097004",0,0,0,0,0,0,0,0,0
"ENSMUSG00000050296",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075165",0,0,0,0,0,0,0,0,0
"ENSMUSG00000050295",2,0,1,4,0,0,5,2,0
"ENSMUSG00000093509",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075164",0,0,0,0,0,0,0,0,0
"ENSMUSG00000093507",4,2,1,5,5,0,4,2,0
"ENSMUSG00000093504",0,0,0,0,0,0,0,0,0
"ENSMUSG00000093503",0,0,0,0,0,0,0,0,0
"ENSMUSG00000093502",0,0,0,0,0,0,0,0,0
"ENSMUSG00000093501",0,0,0,0,0,0,0,0,0
"ENSMUSG00000050299",595,336,348,629,469,439,214,341,282
"ENSMUSG00000075166",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097619",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097618",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097617",2,7,6,0,2,1,6,6,9
"ENSMUSG00000097616",14,31,23,22,28,45,18,28,25
"ENSMUSG00000097615",36,9,19,25,11,9,38,23,48
"ENSMUSG00000097614",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097613",0,5,3,2,5,3,2,7,0
"ENSMUSG00000097610",0,1,3,0,3,2,1,2,1
"ENSMUSG00000075163",0,0,0,0,0,0,0,0,0
"ENSMUSG00000041138",0,0,0,0,0,0,0,0,0
"ENSMUSG00000041130",679,995,715,734,779,636,886,1104,802
"ENSMUSG00000041133",842,1360,701,731,632,838,1018,1116,1040
"ENSMUSG00000041132",980,1117,932,1003,790,1047,209,601,958
"ENSMUSG00000041135",61,129,128,110,106,107,72,126,91
"ENSMUSG00000041134",29,36,27,18,34,37,45,32,28
"ENSMUSG00000027409",0,0,0,0,0,0,0,0,0
"ENSMUSG00000016921",1532,1628,1139,1296,1116,1133,1184,1296,1203
"ENSMUSG00000027408",14,22,17,18,17,9,6,9,14
"ENSMUSG00000037583",966,590,360,117,188,437,488,142,494
"ENSMUSG00000014402",310,481,214,236,248,249,386,355,348
"ENSMUSG00000062477",0,0,0,0,0,0,0,0,0
"ENSMUSG00000090346",0,1,0,0,0,0,0,0,0
"ENSMUSG00000090341",0,0,0,0,0,0,0,0,0
"ENSMUSG00000090342",0,0,0,0,0,0,0,0,0
"ENSMUSG00000055401",353,495,218,284,244,261,240,350,357
"ENSMUSG00000055403",0,0,0,0,0,0,0,0,0
"ENSMUSG00000055407",1,0,0,0,0,0,0,0,1
"ENSMUSG00000055408",0,0,0,0,0,0,0,0,0
"ENSMUSG00000055409",0,0,0,0,0,0,0,0,0
"ENSMUSG00000050439",0,0,0,0,0,0,0,0,0
"ENSMUSG00000051527",0,0,0,0,0,0,0,0,0
"ENSMUSG00000095562",0,0,0,0,0,0,0,0,0
"ENSMUSG00000051528",0,0,0,0,0,0,0,0,0
"ENSMUSG00000092228",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094995",0,0,0,0,0,0,0,0,0
"ENSMUSG00000040771",230,274,197,278,238,227,169,240,221
"ENSMUSG00000094991",0,0,0,0,0,0,0,0,0
"ENSMUSG00000040775",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094993",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094992",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094999",0,0,0,0,0,0,0,0,0
"ENSMUSG00000056174",1,8,5,0,3,0,0,3,3
"ENSMUSG00000044287",3,2,0,3,0,1,0,1,0
"ENSMUSG00000105804",1,0,0,2,0,0,1,2,0
"ENSMUSG00000105802",0,0,0,0,0,0,0,0,0
"ENSMUSG00000105803",0,0,0,0,0,0,0,0,0
"ENSMUSG00000105800",0,0,0,0,0,0,0,0,0
"ENSMUSG00000105801",0,0,0,0,0,0,0,0,0
"ENSMUSG00000057802",14,19,14,23,24,16,6,23,27
"ENSMUSG00000057801",0,0,0,0,0,0,0,0,0
"ENSMUSG00000105809",0,0,0,0,0,0,0,0,0
"ENSMUSG00000012126",5,0,0,2,2,3,0,2,0
"ENSMUSG00000012123",19,62,40,64,36,25,10,35,67
"ENSMUSG00000025269",96,102,100,141,116,62,70,112,114
"ENSMUSG00000025268",74,101,48,28,53,56,25,45,45
"ENSMUSG00000025266",227,341,206,167,160,171,224,302,214
"ENSMUSG00000025265",14,17,11,16,5,7,1,12,4
"ENSMUSG00000025264",136,232,142,146,122,131,122,135,144
"ENSMUSG00000025262",79,32,82,49,45,78,29,28,36
"ENSMUSG00000025261",2726,3329,2231,2168,1742,2278,2753,3473,2594
"ENSMUSG00000025260",1579,3313,2441,2786,2221,2521,1328,1504,1933
"ENSMUSG00000094335",4,3,5,1,4,1,0,2,2
"ENSMUSG00000091122",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094337",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094336",0,0,0,0,0,0,0,0,0
"ENSMUSG00000094338",0,0,0,10,1,0,0,0,1
"ENSMUSG00000091129",0,0,0,0,0,0,0,0,0
"ENSMUSG00000060131",24,23,23,12,12,27,8,18,25
"ENSMUSG00000047203",0,0,0,0,0,0,0,0,0
"ENSMUSG00000047205",2,4,0,5,1,0,0,0,1
"ENSMUSG00000047207",0,0,0,0,0,0,0,0,0
"ENSMUSG00000024725",346,607,341,414,246,357,255,362,337
"ENSMUSG00000097979",3,17,1,3,0,2,5,4,3
"ENSMUSG00000097972",0,0,0,0,0,0,0,0,0
"ENSMUSG00000067780",2,0,3,1,0,0,0,0,0
"ENSMUSG00000097971",785,573,411,7213,607,448,573,428,476
"ENSMUSG00000067786",0,0,0,0,2,1,0,1,0
"ENSMUSG00000067787",380,472,296,294,255,254,318,443,433
"ENSMUSG00000097974",29,14,9,9,15,12,16,30,28
"ENSMUSG00000102505",0,0,0,0,0,0,0,3,0
"ENSMUSG00000102502",0,0,0,0,0,0,0,0,0
"ENSMUSG00000053279",15523,27628,15111,18853,9677,17107,7156,11158,18469
"ENSMUSG00000102500",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108022",2,4,4,0,2,1,9,9,3
"ENSMUSG00000092027",0,0,0,0,0,0,0,0,0
"ENSMUSG00000046490",0,2,1,1,4,2,2,3,2
"ENSMUSG00000068327",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068323",0,2,0,3,0,1,2,4,0
"ENSMUSG00000068329",113,111,81,116,63,103,91,121,93
"ENSMUSG00000068328",1048,1491,910,1152,1004,975,1377,1555,1135
"ENSMUSG00000106388",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106384",0,0,0,2,0,0,0,0,0
"ENSMUSG00000106385",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106386",0,0,0,6,0,0,0,0,0
"ENSMUSG00000106387",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106380",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106381",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106382",0,0,0,0,0,0,0,0,0
"ENSMUSG00000106383",2,3,5,5,2,2,5,4,3
"ENSMUSG00000063445",95,126,86,72,98,57,99,112,61
"ENSMUSG00000063447",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063446",2,0,0,2,0,0,0,0,1
"ENSMUSG00000076940",1,0,0,0,0,0,0,0,0
"ENSMUSG00000100979",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100978",0,0,0,0,0,0,0,0,0
"ENSMUSG00000066438",1,0,2,0,0,0,0,1,0
"ENSMUSG00000100971",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100970",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100973",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100972",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100975",9,10,3,16,11,6,3,6,3
"ENSMUSG00000100974",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100976",0,0,0,0,0,0,0,0,0
"ENSMUSG00000092474",0,1,0,0,0,0,0,0,0
"ENSMUSG00000092476",0,0,0,0,0,0,0,0,0
"ENSMUSG00000092477",0,0,0,0,0,0,0,0,0
"ENSMUSG00000092470",11,52,12,3,19,7,9,5,5
"ENSMUSG00000092471",88,186,115,158,100,109,106,130,145
"ENSMUSG00000092472",0,0,0,0,0,0,0,0,0
"ENSMUSG00000092473",0,0,0,0,0,0,0,0,0
"ENSMUSG00000019932",0,0,0,0,0,0,0,0,0
"ENSMUSG00000019933",0,0,0,0,0,0,0,0,0
"ENSMUSG00000019935",639,2387,818,1010,380,611,339,786,1474
"ENSMUSG00000019936",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100888",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070469",0,2,0,7,0,2,0,0,1
"ENSMUSG00000103779",1,1,1,1,1,0,0,1,1
"ENSMUSG00000064145",424,501,398,375,365,410,440,492,382
"ENSMUSG00000020346",393,402,406,428,356,387,194,306,293
"ENSMUSG00000070465",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070464",0,0,0,0,0,0,0,0,0
"ENSMUSG00000064141",28,38,24,17,7,12,18,11,21
"ENSMUSG00000064140",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103770",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020340",26,22,32,14,15,15,10,24,13
"ENSMUSG00000053490",0,0,0,0,0,0,0,0,0
"ENSMUSG00000053499",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107479",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107478",2,1,7,0,5,0,0,0,1
"ENSMUSG00000107477",2,1,1,0,0,3,0,0,3
"ENSMUSG00000107476",25,41,49,37,44,47,77,45,28
"ENSMUSG00000107473",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107472",0,0,0,0,0,0,0,0,0
"ENSMUSG00000054728",10,18,17,8,10,5,3,12,12
"ENSMUSG00000054723",144,170,116,115,108,164,110,232,170
