"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.38928771761741e-30,3.6946438588087e-28,1.41727590263607,-0.774691914814285,-2.74430885161014,181,"Etfa;Acaa1a;Slc25a5;Ndufa9;Cox7a2;Acaa2;Ndufs3;Ndufb3;Suclg1;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Mdh1;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Oat;Etfb;Mpc1;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Prdx3;Uqcrc2;Timm8b;Ndufa7;Bckdha;Sdhd;Ndufb7;Atp6v1f;Fdx1;Ech1;Eci1;Idh3b;Echs1;Mgst3;Decr1;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Hsd17b10;Sdhc;Ndufb8;Cox5b;Dld;Bdh2;Ndufs1;Cox17;Sucla2;Acadvl;Uqcrh;Pdhb;Ndufc1;Slc25a3;Timm9;Ndufa8;Idh2;Ndufs7;Mrpl11;Vdac3;Uqcr10;Surf1;Mrpl34;Cyb5a;Ndufv2;Acat1;Cox8a;Cycs;Atp6v1h;Timm13;Abcb7;Gpx4;Got2;Timm10"
"HALLMARK_FATTY_ACID_METABOLISM",7.30145004384889e-14,1.82536251096222e-12,0.954541630725724,-0.681773929815375,-2.33353248277625,139,"Acaa1a;Acaa2;Bphl;Fabp1;Suclg1;Mdh1;Fabp2;Alad;Prdx6;Acads;Hsph1;Ehhadh;Sdhd;Gstz1;Gcdh;Acat3;Hmgcl;Pcbd1;Ech1;Eci1;Idh3b;Hibch;Adh1;Mcee;Echs1;Acot8;Decr1;Aldh9a1;Urod;Hsd17b10;Sdhc;Dld;Sucla2;Aldh3a2;Acadvl;Pdhb;Cd1d1;Bckdhb;Pts;Fmo1;Hpgd"
"HALLMARK_ADIPOGENESIS",1.54210129405631e-08,2.57016882342718e-07,0.73376198835648,-0.555069619929783,-1.98242865409434,188,"Ddt;Acaa2;Ndufs3;Suclg1;Cmbl;Cox7b;Apoe;Tst;Sdhb;Etfb;Acads;Uqcrq;Prdx3;Bckdha;Ndufb7;Ech1;Hibch;Echs1;Mgst3;Decr1;Taldo1;Uqcrc1;Dhrs7b;Ak2;Cyc1;Sdhc;Mtch2;Dld;Fah;Slc25a10;Mtarc2;Sqor;Gpat4;Cd151;Mccc1;Uqcr10;Coq9;Sult1a1;Cox8a;Ghitm;Scp2;Gpx4;Ephx2;Pfkl;Pfkfb3;Hadh;Coq3;Abcb8;Ndufab1;Nabp1;Cd302;Idh1;Uqcr11;Dram2;Aldh2;Slc25a1;Sod1;Lifr;Retsat;Qdpr;Uck1;Mdh2;Dhrs7;Slc27a1;Elovl6;Cs;Dbt;Angptl4"
"HALLMARK_PEROXISOME",8.26942175938439e-07,1.03367771992305e-05,0.659444398037935,-0.623718652221808,-1.99951693968866,87,"Acaa1a;Gstk1;Serpina6;Ehhadh;Hmgcl;Ech1;Fads1;Acot8;Abcb9;Aldh9a1;Pex6;Fis1;Tspo;Prdx1;Ttr;Abcd2;Pex2;Idh2;Pex5;Abcd3;Cnbp;Hras;Scp2;Mlycd;Ephx2;Pex11b;Dio1;Ide;Abcc5;Idh1;Hsd17b11;Elovl5;Sod1;Retsat"
"HALLMARK_MITOTIC_SPINDLE",1.53748627517404e-06,1.53748627517404e-05,0.643551836150722,0.519416141304575,1.87299155656348,163,"Mark4;Myh9;Ywhae;Actn4;Numa1;Wasf2;Net1;Sptbn1;Arhgef12;Nedd9;Myh10;Myo1e;Pxn;Mid1;Epb41l2;Pcnt;Shroom1;Akap13;Itsn1;Hdac6;Palld;Clasp1;Bcr;Vcl;Abl1;Map3k11;Arhgef7;Smc1a;Nf1;Ssh2;Stau1;Tlk1;Dst;Sptan1;Prex1;Epb41;Cdc42ep2;Trio;Dync1h1;Farp1;Fscn1;Kif3b;Sun2;Sorbs2;Cep131;Plekhg2;Lats1;Synpo;Arhgef11;Smc3;Wasl;Capzb"
"HALLMARK_XENOBIOTIC_METABOLISM",5.94361382350882e-06,4.95301151959069e-05,0.610526878385931,-0.507094569130025,-1.80000537732159,182,"Ddt;Bphl;Fabp1;Dcxr;Gstt2;Leap2;Apoe;Mbl2;Akr1c6;Sar1b;Serpina6;Ech1;Adh1;Slc22a1;Pink1;Acp1;Gch1;Aldh9a1;Cndp2;Dhrs1;Blvrb;Nfs1;Fbp1;Fah;Rbp4;Abcd2;Abhd6;Akr1c20;Adh5;Lpin2;Pts;Ahcy;Gckr;Gsta3;Fmo1;Cyb5a;Cyp17a1;Comt;Lonp1;Hes6;Tmbim6;Cbr1;Psmb10;Nqo1;Mccc2;Aqp9;Upb1;Vnn1;Pgrmc1"
"HALLMARK_BILE_ACID_METABOLISM",0.000243324942563367,0.00173803530402405,0.518848077743792,-0.528992044082078,-1.72520172436535,104,"Gstk1;Serpina6;Slc22a18;Pex16;Pex11g;Pxmp2;Fads1;Pex7;Pecr;Paox;Aldh9a1;Pex6;Ttr;Pnpla8;Abcd2;Bbox1;Agxt;Hsd17b6;Hsd3b3;Fdxr;Idh2;Slc29a1;Abcd3;Slc27a5;Fads2;Nudt12;Scp2;Hao1;Mlycd;Ephx2;Aqp9;Akr1d1;Sult1b1;Abca6;Dio1;Idh1;Crot;Hsd17b11;Sod1;Retsat;Abcg8"
"HALLMARK_UV_RESPONSE_DN",0.00107495415863442,0.0067184634914651,0.45505986738723,0.466716833156374,1.58891014665886,116,"Nek7;Ptpn21;Mta1;Mt1;Kalrn;Fyn;Add3;Scaf8;Adgrl2;Tgfbr2;Phf3;Atp2b4;Tjp1;Dlc1;Smad3;Celf2;Tgfbr3;Plpp3;Sdc2;Prkce;Rbpms;Zmiz1;Dyrk1a"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00205764469133237,0.011431359396291,0.431707695803346,0.604889180713781,1.87351246152565,61,"Stat3;Il1r1;Pim1;Hmox1;Tnfrsf1a;Cd38;Bak1;Ptpn11;Ptpn1;Crlf2;Il4ra;Il6st;Ltbr;Ifngr2;Tgfb1;Il17rb;Csf3r;Il13ra1;Il17ra;Tlr2;Cd9;Stam2;Osmr;Ptpn2;Jun;Csf2rb2;Cntfr;Cd44;Pdgfc;Ifnar1;Itgb3"
"HALLMARK_APICAL_JUNCTION",0.00311122642435615,0.0155561321217808,0.431707695803346,0.45716391169981,1.58045180948683,126,"Msn;Pcdh1;Pecam1;Myh9;Adam23;Actn4;Icam1;Myh10;Epb41l2;Rsu1;Nf2;Vasp;Vcl;Akt2;Tjp1;Nf1;Itga9;Cldn14;Lama3;Cd276;Nectin1;Ctnnd1;Dhx16;Fscn1;Pbx2;B4galt1;Skap2;Itgb1;Sirpa;Adam9;Lima1;Cdh1;Wasl;Amigo1;Sgce;Sorbs3;Vav2;Ptk2;Ctnna1"
