"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_PARKINSONS_DISEASE",5.00299334895274e-17,7.35440022296052e-15,1.06720998682811,-0.840569436972673,-2.58041638514258,67,"Slc25a5;Ndufa9;Cox7a2;Ndufs3;Ndufb3;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Ndufb7;Pink1;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Sdhc;Ndufb8;Cox5b;Ndufs1;Uqcrh;Ndufc1;Ndufa8;Ndufs7;Vdac3;Uqcr10;Ndufv2;Cox8a;Cycs"
"KEGG_OXIDATIVE_PHOSPHORYLATION",1.76459461417974e-15,1.29697704142211e-13,1.01754479730988,-0.820648213660507,-2.55974440015015,71,"Ndufa9;Cox7a2;Ndufs3;Ndufb3;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Ndufb7;Atp6v1f;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Sdhc;Ndufb8;Cox5b;Ndufs1;Cox17;Uqcrh;Ndufc1;Ndufa8;Ndufs7;Uqcr10;Ndufv2;Cox8a;Atp6v1h"
"KEGG_ALZHEIMERS_DISEASE",1.98464058022966e-13,9.72473884312533e-12,0.943632225232838,-0.758176104655767,-2.46553691922683,90,"Ndufa9;Cox7a2;Ndufs3;Ndufb3;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Ndufb6;Cox5a;Apoe;Ndufa1;Ndufb2;Sdhb;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Ndufb7;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Hsd17b10;Sdhc;Ndufb8;Cox5b;Ndufs1;Uqcrh;Ndufc1;Ndufa8;Ndufs7;Uqcr10;Ndufv2;Cox8a;Cycs"
"KEGG_HUNTINGTONS_DISEASE",6.03931556586648e-13,2.21944847045593e-11,0.921426003494898,-0.740834116056283,-2.4257405547593,94,"Slc25a5;Ndufa9;Cox7a2;Ndufs3;Ndufb3;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Ndufb7;Uqcrc1;Cox6b1;Polr2g;Ndufa3;Ap2s1;Cyc1;Sdhc;Ndufb8;Cox5b;Ndufs1;Uqcrh;Ndufc1;Ndufa8;Ndufs7;Vdac3;Uqcr10;Ndufv2;Cox8a;Cycs"
"KEGG_PEROXISOME",7.60756749783668e-08,2.17211043333018e-06,0.704975715167238,-0.727738946411574,-2.18423193211204,60,"Acaa1a;Gstk1;Ehhadh;Hmgcl;Pex16;Pex11g;Ech1;Pxmp2;Pex7;Acot8;Pecr;Paox;Pex6;Prdx1;Abcd2;Pex2;Agxt;Idh2;Pex5;Abcd3;Nudt12;Scp2;Hao1;Mlycd;Ephx2;Pex11b"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",8.86575687073541e-08,2.17211043333018e-06,0.704975715167238,-0.820444739410123,-2.21183726911105,32,"Acaa1a;Acaa2;Acads;Bckdha;Ehhadh;Acat3;Hmgcl;Hibch;Mcee;Echs1;Aldh9a1;Hsd17b10;Dld;Aldh3a2;Mccc1;Bckdhb"
"KEGG_FATTY_ACID_METABOLISM",7.73805283423809e-07,1.62499109519e-05,0.659444398037935,-0.790074466939259,-2.15487686161354,34,"Acaa1a;Acaa2;Acads;Ehhadh;Gcdh;Acat3;Eci1;Adh1;Echs1;Aldh9a1;Aldh3a2;Acadvl;Adh5"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",7.70955657032034e-06,0.000141663101979636,0.593325476396405,-0.783699643495989,-2.07305095927042,28,"Cox7a2;Cox6c;Cox7b;Cox5a;Uqcrfs1;Uqcrq;Uqcrc2;Uqcrc1;Cox6b1;Cyc1;Cox5b;Uqcrh;Uqcr10;Cox8a"
"KEGG_PROTEASOME",7.18536452076453e-05,0.00117360953839154,0.538434096309916,-0.765788026381599,-1.97264442291819,26,"Psmd14;Psme2;Psma1;Psmb9;Psmb8;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.000103531980473422,0.0015219201129593,0.538434096309916,0.675813336950779,1.90520291998905,37,"Stat3;Spi1;Tcf7l1;Pim1;Tcf7l2;Rela;Akt2;Akt1;Zbtb16"
