"gene","score"
"Nek7",23.6421843637263
"Ets1",7.57967864191035
"Flt4",7.49059811724139
"Mical2",7.1247187705077
"Ncor1",5.1232063524903
"Chd4",5.00149173192514
"Foxp4",4.86413286448352
"Tirap",4.70501428846059
"Crebbp",4.67804300583367
"Bmp6",4.66548912943349
"Wwc2",4.56521561569624
"Cyp2c29",4.48417085025614
"Zfp280b",4.28034660959017
"Dvl3",4.2138540932529
"Fnbp1",4.17932561890005
"Zfp36l1",3.9885521727077
"Kmt2d",3.98655122811908
"Nedd4",3.93859117463513
"Eml1",3.93283451330018
"Atn1",3.91202711797493
"Garre1",3.8571138952911
"Masp1",3.85156228501367
"Junb",3.84304396626564
"Gm10222",3.83474097472397
"Rreb1",3.73946721751007
"Tab2",3.72642571804196
"Prrc2b",3.64295500019283
"Ap3b1",3.63254956864739
"Bicral",3.58842883353435
"Mideas",3.52434426402945
"Pdap1",3.52220723177342
"Pet117",3.52169455504065
"Erf",3.48593894934899
"Gata4",3.47678249812876
"Pom121",3.47678249812876
"Nup98",3.42701384320147
"Prrc2a",3.42385917706886
"Arid1b",3.38737232456097
"Eif5b",3.38586578508332
"Cobl",3.32238646046095
"Myrf",3.29462302067064
"Dot1l",3.29350690783525
"Cep164",3.26936842566551
"Hs3st3a1",3.26449836213013
"Mrtfb",3.25244121600832
"Stat3",3.24427503690114
"Mark4",3.23368688124256
"Ankrd52",3.20841423866877
"Nos1ap",3.16192222595498
"C1qtnf1",3.16192222595498
"Fga",3.14849986865918
"Flt1",3.14548883529048
"Agtr1a",3.11958929796011
"Zc3h4",3.11958929796011
"Nfia",3.102559647078
"Pprc1",3.09974871502618
"Slc16a10",3.06496578685299
"Kics2",3.04649039355565
"Supt6",3.02762713095577
"Zhx2",3.01860537305021
"Gpr182",3.00937244416229
"Msn",2.96614047410635
"Hipk2",2.95215993935792
"Ankrd11",2.93911118219386
"Arhgap23",2.93296326777866
"Setd5",2.93296326777866
"N4bp1",2.93296326777866
"Proser1",2.92470212569261
"Eif4ebp2",2.91553151624668
"Camta2",2.91313315245924
"Pcdh1",2.91313315245924
"Celf1",2.9110198432693
"Mylip",2.88280357515556
"Pabir1",2.8694482393993
"Fam193a",2.84651314020224
"Cfb",2.81094830807328
"Spi1",2.80832926853836
"Gigyf2",2.79505878693162
"Ubn1",2.78862357747052
"Hnrnpul1",2.78862357747052
"Plxnd1",2.78862357747052
"Cep170b",2.78862357747052
"Pecam1",2.78862357747052
"Pak4",2.77712062399552
"Lrrc47",2.77618736609582
"Tcf7l1",2.77214804784848
"Il1r1",2.76835447520401
"Spen",2.75475252170766
"Mgat5",2.75007954142572
"Ptprb",2.74378719829291
"Cpne8",2.73057212537627
"Sox18",2.73057212537627
"Brd4",2.72518627146024
"Fat1",2.70816680922623
"Map7d1",2.694206834306
"Thrap3",2.68840969655105
"Cdh5",2.68654744110584
"Ceacam1",2.66829233640953
"Rexo1",2.6637325854795
"Sox9",2.6604776070141
"Fgg",2.65640759506439
"Vsir",2.65640759506439
"Khsrp",2.64732854702807
"Etv6",2.6465720861292
"Adgrf5",2.64463531718806
"Ptpn21",2.63452565177269
"Myh9",2.63204451044606
"Mta1",2.61286149718577
"Mmrn2",2.61286149718577
"Pim1",2.60947317558631
"Susd4",2.60147009216045
"Kdr",2.57408356684849
"Ywhae",2.56907495357705
"Shoc2",2.55482519131522
"Ncoa6",2.55255519033753
"Srrm1",2.55168786053881
"Ubap2l",2.54923766744731
"Gjc3",2.54859174393224
"Msi2",2.54101477966116
"Lbp",2.54101477966116
"Sltm",2.52324967776245
"Sik3",2.52301271958669
"Ubap2",2.49870961439483
"Pzp2",2.4972387343196
"Irs2",2.4961338926603
"Kdm6b",2.49576789236129
"Fam124a",2.49449855970756
"Ube2g2",2.48554208264707
"Med13l",2.47585916760647
"Peli2",2.47440775689788
"Nuak1",2.45891962756297
"Ctif",2.44517530629773
