PUBLICATION FIGURE INTERPRETATION
====================================

VOLCANO PLOT:
Demonstrates strong transcriptional remodeling
 between insulin sensitive and insulin resistant states.

HEATMAP:
Shows coordinated regulation of mitochondrial,
 oxidative phosphorylation, inflammatory,
 and metabolic genes.

Top highlighted genes include:

    SYMBOL log2FoldChange         padj
1     Nek7      2.4629392 2.279374e-24
2      Ddt     -0.9927979 1.008802e-11
3   Acaa1a     -1.0136270 6.149081e-10
4     Etfa     -0.7375932 6.149081e-10
5    Vamp8     -0.9756819 6.149081e-10
6    Tomm7     -1.3112519 4.877236e-09
7     Ets1      2.2632226 2.632215e-08
8  Slc25a5     -0.8363345 3.143448e-08
9    Ttc36     -0.6667411 3.143448e-08
10    Flt4      1.2596182 3.231483e-08
11 Abhd17a     -1.0335656 4.455769e-08
12  Mical2      1.0899924 7.503800e-08
13    <NA>     -7.2684191 1.122395e-07
14   Asgr1     -0.6755403 1.122395e-07
15    Myl6     -0.7640728 3.324114e-07
16  Cox7a2     -1.1018244 4.889248e-07
17  Ndufa9     -0.7339033 4.889248e-07
18     Ccs     -0.7179515 7.266849e-07
19    Fktn     -1.0993990 7.266849e-07
20   Acaa2     -0.5933046 9.762635e-07
21  Ndufs3     -0.6934008 7.144428e-06
22    Bphl     -0.9263508 7.529977e-06
23   Ncor1      0.5671909 7.529977e-06
24  Psmd14     -0.6617413 7.529977e-06
25 Tmem205     -0.9657111 9.474845e-06
26   Fabp1     -0.9581797 9.929664e-06
27    Chd4      0.7173469 9.965711e-06
28  Chchd2     -0.9888202 1.028519e-05
29   Fcgrt     -0.5250748 1.028519e-05
30   Apoc4     -0.8161804 1.173333e-05
